GT Label,Predicted Text
Glas 8mm: 136 Kg,Glas 6mm: 136 Kg
Glas B-2: 364 Kg,Glas 8.2: 361 Ka
"Glas 8/14/6/14 8-2 . UWert: 0.6 W/m2K 3232*2728, 683 Kg.",Glas WimzK Uwert: Fa 06
Glas 8mm: 182 Kg,Glas em: 182
Wasserschlitz im Pfoil und Glasleiste,—_ Giosiek und
Glasunterlage 4mm,er
Pour le tapis: 5mm,Pour le 5mm tapis: _Pourletapis: 5mm
CF St 3mm 60*300,Fe
"Alu 15*39,8-450",aus oS ge
Canal Tehalit BK Brodway,Canal Tehalit BK Brodway
"Feuille etanche grise 330mm, coliee sur profil aluminim","50am, Feuille étanche aid Sr Def"
Gaujon M12*100 Inox,"Goujon M12""100 Inox"
MS polymere hybride blanc,MS polymére hybride blanc
Equerre alu 30*30*2,—
Canal Tehalit BK Broadway,BK Brodway
Plat ALu 30*3,em
Tole alu 3mm lineare,et en
Isover 30 PB F Isover 60 PB F Extra,er
Tole acier sendzimir 4mm,ni dy
